County,Chert Count
Accomack,1
Albemarle,1
Alleghany,1
Amelia,5
Amherst,2
Augusta,1
Bedford,10
Brunswick,4
Buchanan,1
Campbell,3
Caroline,2
Charles City,1
Charlotte,4
Chesapeake,1
Chesterfield,4
Clarksville,1
Culpepper,1
Cumberland,2
Dinwiddie,99
Dinwiddie ,5
Fairfax ,1
Floyd,1
Franklin,2
Giles,1
Gloucester,2
Goochland ,1
Greenville,19
Halifax,7
Hanover,1
Henry,1
Isle of Wight,6
James City,1
Loudoun,1
Mathews,3
Mecklenberg,3
Mecklenburg,46
Nelson,1
Northampton ,1
Page,4
Patrick,1
Petersburg,2
Pittsylvania,5
Powhatan,3
Prince Edward,4
Prince George,6
Pulaski,1
Roanoke,2
Rockbridge,3
Rockingham,3
Scott,1
Shenandoah,1
Smyth,5
Southampton,7
Spottsylvania,1
Suffolk,7
Surry,6
Sussex,20
Tazewell,3
Virginia Beach,2
Warren ,2
Washington,6
Washington ,1
Westmoreland,1
York,2
