County,Meta.Count
Amherst,1
Bedford,2
Brunswick,8
Buckingham,1
Campbell,1
Caroline,1
Charlotte,4
Chesapeake,1
Chesterfield,5
Culpepper,1
Dinwiddie,14
Dinwiddie ,1
Fairfax,2
Fairfax ,1
Floyd,1
Franklin,1
Gloucester,1
Greenville,7
Halifax,14
Hanover,1
Henry,1
Isle of Wight,1
James City,1
King William,1
Lunenburg,2
Mathews,1
Mecklenberg,2
Mecklenburg,19
Montgomery,1
Page,1
Patrick,2
Pittsylvania,1
Roanoke,1
Rockbridge,1
Smyth,1
Southampton,1
Suffolk,11
Surry,1
Sussex,6
Virginia Beach,1
Washington,1
Williamsburg,1
Wythe,1
