County,Jasper.Count,,,,,,,
Accomack,0,,,,,,,
Albemarle,0,,,,,,,
Alexandria,0,,,,,,,
Alleghany,0,,,,,,,
Amelia,1,,,,,,,
Amherst,0,,,,,,,
Appomattox,0,,,,,,,
Arlington,0,,,,,,,
Augusta,0,,,,,,,
Bath,0,,,,,,,
Bedford,4,,,,,,,
Bland,0,,,,,,,
Botetourt,0,,,,,,,
Bristol,0,,,,,,,
Brunswick,0,,,,,,,
Buchanan,0,,,,,,,
Buckingham,0,,,,,,,
Buena Vista,0,,,,,,,
Campbell,0,,,,,,,
Caroline,0,,,,,,,
Carroll,0,,,,,,,
Charles City,1,,,,,,,
Charlotte,0,,,,,,,
Charlottesville,0,,,,,,,
Chesapeake,2,,,,,,,
Chesterfield,3,,,,,,,
Clarke,1,,,,,,,
Colonial Heights,0,,,,,,,
Covington,0,,,,,,,
Craig,0,,,,,,,
Culpeper,0,,,,,,,
Cumberland,0,,,,,,,
Danville,0,,,,,,,
Dickenson,0,,,,,,,
Dinwiddie,7,,,,,,,
Emporia,0,,,,,,,
Essex,1,,,,,,,
Fairfax,1,,,,,,,
Falls Church,0,,,,,,,
Fauquier,0,,,,,,,
Floyd,0,,,,,,,
Fluvanna,0,,,,,,,
Franklin,1,,,,,,,
Frederick,0,,,,,,,
Fredericksburg,0,,,,,,,
Galax,0,,,,,,,
Giles,0,,,,,,,
Gloucester,2,,,,,,,
Goochland,0,,,,,,,
Grayson,0,,,,,,,
Greene,0,,,,,,,
Greensville,2,,,,,,,
Halifax,3,,,,,,,
Hampton,0,,,,,,,
Hanover,0,,,,,,,
Harrisonburg,0,,,,,,,
Henrico,1,,,,,,,
Henry,0,,,,,,,
Highland,0,,,,,,,
Hopewell,0,,,,,,,
Isle of Wight,1,,,,,,,
James City,0,,,,,,,
King and Queen,0,,,,,,,
King George,0,,,,,,,
King William,0,,,,,,,
Lancaster,1,,,,,,,
Lee,0,,,,,,,
Lexington,0,,,,,,,
Loudoun,3,,,,,,,
Louisa,0,,,,,,,
Lunenburg,0,,,,,,,
Lynchburg,0,,,,,,,
Madison,0,,,,,,,
Manassas,0,,,,,,,
Manassas Park,0,,,,,,,
Martinsville,0,,,,,,,
Mathews,2,,,,,,,
Mecklenburg,4,,,,,,,
Middlesex,0,,,,,,,
Montgomery,1,,,,,,,
Nelson,1,,,,,,,
New Kent,0,,,,,,,
Newport News,1,,,,,,,
Norfolk,0,,,,,,,
Northampton,1,,,,,,,
Northumberland,2,,,,,,,
Norton,0,,,,,,,
Nottoway,0,,,,,,,
Orange,1,,,,,,,
Page,1,,,,,,,
Patrick,0,,,,,,,
Petersburg,0,,,,,,,
Pittsylvania,1,,,,,,,
Poquoson,0,,,,,,,
Portsmouth,0,,,,,,,
Powhatan,0,,,,,,,
Prince Edward,0,,,,,,,
Prince George,0,,,,,,,
Prince William,0,,,,,,,
Pulaski,0,,,,,,,
Radford,0,,,,,,,
Rappahannock,0,,,,,,,
Richmond,1,,,,,,,
Roanoke,0,,,,,,,
Rockbridge,1,,,,,,,
Rockingham,1,,,,,,,
Russell,0,,,,,,,
Salem,0,,,,,,,
Scott,0,,,,,,,
Shenandoah,2,,,,,,,
Smyth,1,,,,,,,
Southampton,1,,,,,,,
Spotsylvania,0,,,,,,,
Stafford,0,,,,,,,
Staunton,0,,,,,,,
Suffolk,5,,,,,,,
Surry,2,,,,,,,
Sussex,3,,,,,,,
Tazewell,1,,,,,,,
Virginia Beach,0,,,,,,,
Warren,9,,,,,,,
Washington,0,,,,,,,
Waynesboro,0,,,,,,,
Westmoreland,0,,,,,,,
Williamsburg,0,,,,,,,
Winchester,0,,,,,,,
Wise,0,,,,,,,
Wythe,0,,,,,,,
York,2,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
